fecha_local,fecha_utc,latitud,longitud,profundidad,magnitud,region,maps_link,rango_profundidad,categoria
2025-11-03 16:41:1452 km al SE de Socaire,2025-11-03 19:41:14,-23.966,-67.579,275.0,3.4,Antofagasta,"https://www.google.com/maps?q=-23.966,-67.579",200–500 km,Leve
2025-11-03 16:21:4328 km al SE de CamiÃ±a,2025-11-03 19:21:43,-19.474,-69.219,110.0,3.6,Tarapacá,"https://www.google.com/maps?q=-19.474,-69.219",100–200 km,Moderado
2025-11-03 16:16:0569 km al NE de Calama,2025-11-03 19:16:05,-21.904,-68.651,123.0,2.7,Antofagasta,"https://www.google.com/maps?q=-21.904,-68.651",100–200 km,Leve
2025-11-03 15:58:1750 km al SE de Socaire,2025-11-03 18:58:17,-23.983,-67.644,254.0,3.0,Antofagasta,"https://www.google.com/maps?q=-23.983,-67.644",200–500 km,Leve
2025-11-03 15:00:3117 km al NO de La Serena,2025-11-03 18:00:31,-29.805,-71.381,71.0,4.0,Coquimbo,"https://www.google.com/maps?q=-29.805,-71.381",60–100 km,Moderado
2025-11-03 13:40:3881 km al NO de Coronel,2025-11-03 16:40:38,-36.659,-73.937,22.0,3.8,Ñuble,"https://www.google.com/maps?q=-36.659,-73.937",10–30 km,Moderado
2025-11-03 13:17:4471 km al NO de Carrizal Bajo,2025-11-03 16:17:44,-27.506,-71.454,38.0,3.3,Atacama,"https://www.google.com/maps?q=-27.506,-71.454",30–60 km,Leve
2025-11-03 12:57:4473 km al S de Colchane,2025-11-03 15:57:44,-19.928,-68.753,120.0,2.6,Tarapacá,"https://www.google.com/maps?q=-19.928,-68.753",100–200 km,Leve
2025-11-03 12:51:5570 km al NO de Carrizal Bajo,2025-11-03 15:51:55,-27.52,-71.47,31.0,5.6,Atacama,"https://www.google.com/maps?q=-27.52,-71.47",30–60 km,Fuerte
2025-11-03 12:49:2741 km al N de Pica,2025-11-03 15:49:27,-20.143,-69.207,95.0,2.8,Tarapacá,"https://www.google.com/maps?q=-20.143,-69.207",60–100 km,Leve
2025-11-03 12:43:5235 km al SE de Mina La Escondida,2025-11-03 15:43:52,-24.445,-68.767,106.0,2.8,Antofagasta,"https://www.google.com/maps?q=-24.445,-68.767",100–200 km,Leve
2025-11-03 11:21:5525 km al O de Termas del Flaco,2025-11-03 14:21:55,-34.999,-70.71,104.0,2.6,Libertador B. O'Higgins,"https://www.google.com/maps?q=-34.999,-70.71",100–200 km,Leve
2025-11-03 10:32:2044 km al S de Paihuano,2025-11-03 13:32:20,-30.42,-70.44,114.0,3.1,Coquimbo,"https://www.google.com/maps?q=-30.42,-70.44",100–200 km,Leve
2025-11-03 09:57:5845 km al E de Petorca,2025-11-03 12:57:58,-32.293,-70.451,124.0,3.8,Valparaíso,"https://www.google.com/maps?q=-32.293,-70.451",100–200 km,Moderado
2025-11-03 09:52:4367 km al SO de OllagÃ¼e,2025-11-03 12:52:43,-21.764,-68.537,128.0,2.8,Antofagasta,"https://www.google.com/maps?q=-21.764,-68.537",100–200 km,Leve
2025-11-03 08:07:3340 km al SO de Mina Collahuasi,2025-11-03 11:07:33,-21.141,-68.843,111.0,2.5,Tarapacá,"https://www.google.com/maps?q=-21.141,-68.843",100–200 km,Leve
2025-11-03 07:44:0958 km al O de Mina La Escondida,2025-11-03 10:44:09,-24.402,-69.609,96.0,3.1,Antofagasta,"https://www.google.com/maps?q=-24.402,-69.609",60–100 km,Leve
2025-11-03 06:58:0952 km al E de Antuco,2025-11-03 09:58:09,-37.254,-71.092,145.0,3.3,Biobío,"https://www.google.com/maps?q=-37.254,-71.092",100–200 km,Leve
2025-11-03 06:41:3521 km al S de Mina Collahuasi,2025-11-03 09:41:35,-21.007,-68.717,112.0,2.5,Tarapacá,"https://www.google.com/maps?q=-21.007,-68.717",100–200 km,Leve
2025-11-03 05:02:5543 km al NE de Vallenar,2025-11-03 08:02:55,-28.379,-70.378,86.0,2.5,Atacama,"https://www.google.com/maps?q=-28.379,-70.378",60–100 km,Leve
2025-11-03 03:58:2674 km al E de Socaire,2025-11-03 06:58:26,-23.391,-67.198,236.0,3.3,Antofagasta,"https://www.google.com/maps?q=-23.391,-67.198",200–500 km,Leve
2025-11-03 03:18:1036 km al O de Arauco,2025-11-03 06:18:10,-37.149,-73.704,10.0,2.5,Biobío,"https://www.google.com/maps?q=-37.149,-73.704",<10 km,Leve
2025-11-03 01:49:1237 km al SE de CamiÃ±a,2025-11-03 04:49:12,-19.514,-69.145,118.0,3.2,Tarapacá,"https://www.google.com/maps?q=-19.514,-69.145",100–200 km,Leve
2025-11-03 01:38:46123 km al NE de Socaire,2025-11-03 04:38:46,-22.892,-66.96,273.0,3.4,Antofagasta,"https://www.google.com/maps?q=-22.892,-66.96",200–500 km,Leve
2025-11-02 23:10:5627 km al SO de Mejillones,2025-11-03 02:10:56,-23.243,-70.662,22.0,2.8,Antofagasta,"https://www.google.com/maps?q=-23.243,-70.662",10–30 km,Leve
2025-11-02 21:48:2678 km al NE de Alto del Carmen,2025-11-03 00:48:26,-28.307,-69.87,106.0,3.2,Atacama,"https://www.google.com/maps?q=-28.307,-69.87",100–200 km,Leve
2025-11-02 20:51:3729 km al SE de Sierra Gorda,2025-11-02 23:51:37,-23.097,-69.145,96.0,3.1,Antofagasta,"https://www.google.com/maps?q=-23.097,-69.145",60–100 km,Leve
2025-11-02 18:08:5169 km al SO de OllagÃ¼e,2025-11-02 21:08:51,-21.732,-68.644,131.0,3.0,Antofagasta,"https://www.google.com/maps?q=-21.732,-68.644",100–200 km,Leve
2025-11-02 17:52:4035 km al SO de OllagÃ¼e,2025-11-02 20:52:40,-21.409,-68.527,138.0,2.6,Antofagasta,"https://www.google.com/maps?q=-21.409,-68.527",100–200 km,Leve
2025-11-02 17:18:1741 km al NE de OllagÃ¼e,2025-11-02 20:18:17,-20.929,-68.023,182.0,2.9,Tarapacá,"https://www.google.com/maps?q=-20.929,-68.023",100–200 km,Leve
2025-11-02 17:09:4454 km al NE de Pica,2025-11-02 20:09:44,-20.132,-68.978,106.0,3.7,Tarapacá,"https://www.google.com/maps?q=-20.132,-68.978",100–200 km,Moderado
2025-11-02 17:06:4919 km al NE de El Salvador,2025-11-02 20:06:49,-26.141,-69.47,102.0,2.7,Atacama,"https://www.google.com/maps?q=-26.141,-69.47",100–200 km,Leve
2025-11-02 17:06:2973 km al E de Socaire,2025-11-02 20:06:29,-23.798,-67.207,230.0,3.5,Antofagasta,"https://www.google.com/maps?q=-23.798,-67.207",200–500 km,Leve
2025-11-02 16:10:3073 km al NO de Arauco,2025-11-02 19:10:30,-36.929,-74.032,27.0,3.2,Biobío,"https://www.google.com/maps?q=-36.929,-74.032",10–30 km,Leve
2025-11-02 15:51:4871 km al NO de Arauco,2025-11-02 18:51:48,-36.915,-74.0,21.0,4.6,Biobío,"https://www.google.com/maps?q=-36.915,-74.0",10–30 km,Moderado
2025-11-02 15:43:5197 km al O de Pisagua,2025-11-02 18:43:51,-19.879,-71.096,18.0,4.2,Tarapacá,"https://www.google.com/maps?q=-19.879,-71.096",10–30 km,Moderado
2025-11-02 13:18:0229 km al E de Pichidangui,2025-11-02 16:18:02,-32.045,-71.245,80.0,3.0,Valparaíso,"https://www.google.com/maps?q=-32.045,-71.245",60–100 km,Leve
2025-11-02 12:33:0859 km al S de Socaire,2025-11-02 15:33:08,-24.12,-67.84,239.0,3.1,Antofagasta,"https://www.google.com/maps?q=-24.12,-67.84",200–500 km,Leve
2025-11-02 11:50:2919 km al NE de VichuquÃ©n,2025-11-02 14:50:29,-34.728,-71.92,24.0,3.0,Libertador B. O'Higgins,"https://www.google.com/maps?q=-34.728,-71.92",10–30 km,Leve
2025-11-02 11:50:2595 km al S de Socaire,2025-11-02 14:50:25,-24.431,-68.038,173.0,2.8,Antofagasta,"https://www.google.com/maps?q=-24.431,-68.038",100–200 km,Leve
2025-11-02 10:35:0575 km al SE de Socaire,2025-11-02 13:35:05,-24.14,-67.456,200.0,3.2,Antofagasta,"https://www.google.com/maps?q=-24.14,-67.456",100–200 km,Leve
2025-11-02 10:16:3434 km al NE de Cuya,2025-11-02 13:16:34,-19.007,-69.898,83.0,4.1,Tarapacá,"https://www.google.com/maps?q=-19.007,-69.898",60–100 km,Moderado
2025-11-02 10:02:0950 km al O de Arauco,2025-11-02 13:02:09,-37.099,-73.849,30.0,3.0,Biobío,"https://www.google.com/maps?q=-37.099,-73.849",10–30 km,Leve
2025-11-02 09:21:5440 km al E de Los Andes,2025-11-02 12:21:54,-32.835,-70.175,107.0,2.8,Valparaíso,"https://www.google.com/maps?q=-32.835,-70.175",100–200 km,Leve
2025-11-02 08:44:2958 km al SO de OllagÃ¼e,2025-11-02 11:44:29,-21.69,-68.504,137.0,2.5,Antofagasta,"https://www.google.com/maps?q=-21.69,-68.504",100–200 km,Leve
2025-11-02 07:28:0640 km al NE de San FabiÃ¡n,2025-11-02 10:28:06,-36.216,-71.409,92.0,2.5,Maule,"https://www.google.com/maps?q=-36.216,-71.409",60–100 km,Leve
2025-11-02 04:23:4944 km al S de TirÃºa,2025-11-02 07:23:49,-38.74,-73.516,26.0,3.0,La Araucanía,"https://www.google.com/maps?q=-38.74,-73.516",10–30 km,Leve
2025-11-02 04:04:29120 km al E de CopiapÃ³,2025-11-02 07:04:29,-27.615,-69.145,121.0,2.9,Atacama,"https://www.google.com/maps?q=-27.615,-69.145",100–200 km,Leve
2025-11-02 03:52:0934 km al N de ConstituciÃ³n,2025-11-02 06:52:09,-35.031,-72.36,44.0,3.2,Maule,"https://www.google.com/maps?q=-35.031,-72.36",30–60 km,Leve
2025-11-02 02:34:0446 km al NE de Pica,2025-11-02 05:34:04,-20.119,-69.127,92.0,2.8,Tarapacá,"https://www.google.com/maps?q=-20.119,-69.127",60–100 km,Leve
2025-11-02 00:48:5568 km al N de Mina La Escondida,2025-11-02 03:48:55,-23.691,-69.286,86.0,2.5,Antofagasta,"https://www.google.com/maps?q=-23.691,-69.286",60–100 km,Leve
2025-11-01 23:31:2092 km al SE de Socaire,2025-11-02 02:31:20,-24.258,-67.354,191.0,4.0,Antofagasta,"https://www.google.com/maps?q=-24.258,-67.354",100–200 km,Moderado
2025-11-01 22:39:4930 km al SE de Rancagua,2025-11-02 01:39:49,-34.372,-70.531,118.0,3.5,Libertador B. O'Higgins,"https://www.google.com/maps?q=-34.372,-70.531",100–200 km,Leve
2025-11-01 22:02:49104 km al SE de Alto del Carmen,2025-11-02 01:02:49,-29.182,-69.538,122.0,3.9,Atacama,"https://www.google.com/maps?q=-29.182,-69.538",100–200 km,Moderado
2025-11-01 19:40:2844 km al NE de Calama,2025-11-01 22:40:28,-22.216,-68.597,126.0,2.6,Antofagasta,"https://www.google.com/maps?q=-22.216,-68.597",100–200 km,Leve
2025-11-01 18:59:0945 km al S de Mina Collahuasi,2025-11-01 21:59:09,-21.219,-68.766,106.0,2.6,Tarapacá,"https://www.google.com/maps?q=-21.219,-68.766",100–200 km,Leve
2025-11-01 16:26:4729 km al S de Sierra Gorda,2025-11-01 19:26:47,-23.149,-69.375,77.0,3.3,Antofagasta,"https://www.google.com/maps?q=-23.149,-69.375",60–100 km,Leve
2025-11-01 15:54:1962 km al SE de Putre,2025-11-01 18:54:19,-18.621,-69.176,126.0,3.8,Arica y Parinacota,"https://www.google.com/maps?q=-18.621,-69.176",100–200 km,Moderado
2025-11-01 15:49:2811 km al O de Santa Cruz,2025-11-01 18:49:28,-34.621,-71.482,67.0,2.6,Libertador B. O'Higgins,"https://www.google.com/maps?q=-34.621,-71.482",60–100 km,Leve
2025-11-01 14:39:5082 km al SE de Socaire,2025-11-01 17:39:50,-23.943,-67.183,228.0,4.0,Antofagasta,"https://www.google.com/maps?q=-23.943,-67.183",200–500 km,Moderado
2025-11-01 11:54:0151 km al SO de Mina Collahuasi,2025-11-01 14:54:01,-21.246,-68.865,112.0,2.9,Tarapacá,"https://www.google.com/maps?q=-21.246,-68.865",100–200 km,Leve
2025-11-01 09:09:4528 km al S de Pichidangui,2025-11-01 12:09:45,-32.38,-71.588,64.0,2.7,Valparaíso,"https://www.google.com/maps?q=-32.38,-71.588",60–100 km,Leve
2025-11-01 08:07:4118 km al SO de Tongoy,2025-11-01 11:07:41,-30.402,-71.561,36.0,2.7,Coquimbo,"https://www.google.com/maps?q=-30.402,-71.561",30–60 km,Leve
2025-11-01 06:37:3151 km al SO de Mina Collahuasi,2025-11-01 09:37:31,-21.23,-68.885,118.0,3.6,Tarapacá,"https://www.google.com/maps?q=-21.23,-68.885",100–200 km,Moderado
2025-11-01 05:55:245 km al N de La Serena,2025-11-01 08:55:24,-29.858,-71.242,65.0,2.8,Coquimbo,"https://www.google.com/maps?q=-29.858,-71.242",60–100 km,Leve
2025-11-01 05:17:1617 km al E de Parque Fray Jorge,2025-11-01 08:17:16,-30.662,-71.505,17.0,2.7,Coquimbo,"https://www.google.com/maps?q=-30.662,-71.505",10–30 km,Leve
2025-11-01 05:03:30144 km al NO de ConcepciÃ³n,2025-11-01 08:03:30,-36.175,-74.436,20.0,3.4,Maule,"https://www.google.com/maps?q=-36.175,-74.436",10–30 km,Leve
2025-11-01 03:32:0111 km al N de Mina Los Pelambres,2025-11-01 06:32:01,-31.726,-70.567,97.0,2.9,Coquimbo,"https://www.google.com/maps?q=-31.726,-70.567",60–100 km,Leve
2025-11-01 03:06:2742 km al NE de Pica,2025-11-01 06:06:27,-20.18,-69.107,96.0,2.9,Tarapacá,"https://www.google.com/maps?q=-20.18,-69.107",60–100 km,Leve
2025-11-01 02:32:2590 km al SE de Puerto Natales,2025-11-01 05:32:25,-52.492,-72.071,42.0,3.0,Magallanes y de la Antártica Chilena,"https://www.google.com/maps?q=-52.492,-72.071",30–60 km,Leve
2025-11-01 02:02:4423 km al S de Mina Collahuasi,2025-11-01 05:02:44,-21.023,-68.712,107.0,2.9,Tarapacá,"https://www.google.com/maps?q=-21.023,-68.712",100–200 km,Leve
2025-11-01 01:33:1217 km al NO de Punitaqui,2025-11-01 04:33:12,-30.706,-71.358,32.0,2.7,Coquimbo,"https://www.google.com/maps?q=-30.706,-71.358",30–60 km,Leve
2025-11-01 00:49:5172 km al S de Socaire,2025-11-01 03:49:51,-24.197,-67.65,224.0,3.3,Antofagasta,"https://www.google.com/maps?q=-24.197,-67.65",200–500 km,Leve
2025-11-01 00:30:0534 km al SO de Canela Baja,2025-11-01 03:30:05,-31.564,-71.764,40.0,3.3,Coquimbo,"https://www.google.com/maps?q=-31.564,-71.764",30–60 km,Leve
2025-10-31 23:42:5033 km al S de Mina Collahuasi,2025-11-01 02:42:50,-21.106,-68.558,130.0,2.8,Tarapacá,"https://www.google.com/maps?q=-21.106,-68.558",100–200 km,Leve
2025-10-31 22:54:2310 km al SE de Pica,2025-11-01 01:54:23,-20.561,-69.267,99.0,2.6,Tarapacá,"https://www.google.com/maps?q=-20.561,-69.267",60–100 km,Leve
2025-10-31 20:45:405 km al SE de Punitaqui,2025-10-31 23:45:40,-30.868,-71.237,25.0,3.9,Coquimbo,"https://www.google.com/maps?q=-30.868,-71.237",10–30 km,Moderado
2025-10-31 17:31:0232 km al E de Cauquenes,2025-10-31 20:31:02,-35.855,-71.991,57.0,3.3,Maule,"https://www.google.com/maps?q=-35.855,-71.991",30–60 km,Leve
2025-10-31 14:04:5115 km al NE de VichuquÃ©n,2025-10-31 17:04:51,-34.767,-71.906,20.0,3.0,Libertador B. O'Higgins,"https://www.google.com/maps?q=-34.767,-71.906",10–30 km,Leve
2025-10-31 11:41:266 km al SO de Parque Fray Jorge,2025-10-31 14:41:26,-30.715,-71.707,36.0,4.1,Coquimbo,"https://www.google.com/maps?q=-30.715,-71.707",30–60 km,Moderado
2025-10-31 10:09:0157 km al O de OllagÃ¼e,2025-10-31 13:09:01,-21.381,-68.781,117.0,3.3,Antofagasta,"https://www.google.com/maps?q=-21.381,-68.781",100–200 km,Leve
2025-10-31 09:34:5019 km al SE de Huasco,2025-10-31 12:34:50,-28.55,-71.055,44.0,3.5,Atacama,"https://www.google.com/maps?q=-28.55,-71.055",30–60 km,Leve
2025-10-31 09:05:1638 km al SO de Pichidangui,2025-10-31 12:05:16,-32.418,-71.755,59.0,3.3,Valparaíso,"https://www.google.com/maps?q=-32.418,-71.755",30–60 km,Leve
2025-10-31 08:58:2450 km al NE de Carrizal Bajo,2025-10-31 11:58:24,-27.804,-70.754,60.0,2.9,Atacama,"https://www.google.com/maps?q=-27.804,-70.754",30–60 km,Leve
2025-10-31 08:45:4768 km al E de Mina Los Pelambres,2025-10-31 11:45:47,-31.663,-69.897,150.0,3.0,Coquimbo,"https://www.google.com/maps?q=-31.663,-69.897",100–200 km,Leve
2025-10-31 06:45:5279 km al SE de Puerto Natales,2025-10-31 09:45:52,-52.329,-71.89,25.0,4.1,Magallanes y de la Antártica Chilena,"https://www.google.com/maps?q=-52.329,-71.89",10–30 km,Moderado
2025-10-31 06:23:2018 km al N de Los Vilos,2025-10-31 09:23:20,-31.75,-71.477,46.0,2.7,Coquimbo,"https://www.google.com/maps?q=-31.75,-71.477",30–60 km,Leve
2025-10-31 06:18:2497 km al NO de Punta Arenas,2025-10-31 09:18:24,-52.55,-71.93,44.0,3.1,Magallanes y de la Antártica Chilena,"https://www.google.com/maps?q=-52.55,-71.93",30–60 km,Leve
2025-10-31 01:22:0819 km al NO de Caldera,2025-10-31 04:22:08,-26.988,-70.995,54.0,2.8,Atacama,"https://www.google.com/maps?q=-26.988,-70.995",30–60 km,Leve
2025-10-30 22:15:0677 km al E de Socaire,2025-10-31 01:15:06,-23.812,-67.176,230.0,3.4,Antofagasta,"https://www.google.com/maps?q=-23.812,-67.176",200–500 km,Leve
2025-10-30 18:49:3383 km al N de San Pedro de Atacama,2025-10-30 21:49:33,-22.211,-67.938,213.0,3.9,Antofagasta,"https://www.google.com/maps?q=-22.211,-67.938",200–500 km,Moderado
2025-10-30 18:16:1530 km al SO de Santa Cruz,2025-10-30 21:16:15,-34.762,-71.659,49.0,4.3,Libertador B. O'Higgins,"https://www.google.com/maps?q=-34.762,-71.659",30–60 km,Moderado
2025-10-30 15:49:3970 km al NE de Calama,2025-10-30 18:49:39,-21.976,-68.502,129.0,3.3,Antofagasta,"https://www.google.com/maps?q=-21.976,-68.502",100–200 km,Leve
2025-10-30 15:45:5145 km al SE de Patache,2025-10-30 18:45:51,-21.093,-69.896,51.0,3.1,Tarapacá,"https://www.google.com/maps?q=-21.093,-69.896",30–60 km,Leve
2025-10-30 13:04:4013 km al SE de Taltal,2025-10-30 16:04:40,-25.481,-70.387,46.0,4.0,Atacama,"https://www.google.com/maps?q=-25.481,-70.387",30–60 km,Moderado
2025-10-30 08:59:1625 km al S de Alto del Carmen,2025-10-30 11:59:16,-28.985,-70.47,100.0,3.4,Atacama,"https://www.google.com/maps?q=-28.985,-70.47",60–100 km,Leve
2025-10-30 08:36:1796 km al S de Ilo,2025-10-30 11:36:17,-18.507,-71.28,10.0,2.5,Arica y Parinacota,"https://www.google.com/maps?q=-18.507,-71.28",<10 km,Leve
2025-10-30 07:28:3036 km al NE de Pica,2025-10-30 10:28:30,-20.232,-69.114,91.0,2.8,Tarapacá,"https://www.google.com/maps?q=-20.232,-69.114",60–100 km,Leve
2025-10-30 05:38:2672 km al S de OllagÃ¼e,2025-10-30 08:38:26,-21.829,-68.502,122.0,2.5,Antofagasta,"https://www.google.com/maps?q=-21.829,-68.502",100–200 km,Leve
2025-10-30 04:59:5518 km al NE de Pica,2025-10-30 07:59:55,-20.406,-69.185,83.0,2.5,Tarapacá,"https://www.google.com/maps?q=-20.406,-69.185",60–100 km,Leve
2025-10-30 04:54:4630 km al NE de Calama,2025-10-30 07:54:46,-22.307,-68.693,102.0,2.5,Antofagasta,"https://www.google.com/maps?q=-22.307,-68.693",100–200 km,Leve
2025-10-30 04:17:0629 km al O de Canela Baja,2025-10-30 07:17:06,-31.489,-71.744,31.0,2.7,Coquimbo,"https://www.google.com/maps?q=-31.489,-71.744",30–60 km,Leve
2025-10-30 04:09:1373 km al S de Socaire,2025-10-30 07:09:13,-24.24,-67.776,174.0,3.2,Antofagasta,"https://www.google.com/maps?q=-24.24,-67.776",100–200 km,Leve
2025-10-30 02:27:3336 km al E de Pica,2025-10-30 05:27:33,-20.447,-68.983,114.0,2.8,Tarapacá,"https://www.google.com/maps?q=-20.447,-68.983",100–200 km,Leve
2025-10-30 02:19:5227 km al SO de Mina Collahuasi,2025-10-30 05:19:52,-21.038,-68.785,100.0,2.6,Tarapacá,"https://www.google.com/maps?q=-21.038,-68.785",60–100 km,Leve
2025-10-29 23:30:4532 km al N de Lebu,2025-10-30 02:30:45,-37.321,-73.689,32.0,3.0,Biobío,"https://www.google.com/maps?q=-37.321,-73.689",30–60 km,Leve
2025-10-29 23:22:5969 km al SO de San Pedro de Atacama,2025-10-30 02:22:59,-23.439,-68.572,111.0,2.7,Antofagasta,"https://www.google.com/maps?q=-23.439,-68.572",100–200 km,Leve
2025-10-29 23:16:4051 km al O de Arauco,2025-10-30 02:16:40,-37.091,-73.858,25.0,3.5,Biobío,"https://www.google.com/maps?q=-37.091,-73.858",10–30 km,Leve
2025-10-29 22:08:1665 km al NO de Arauco,2025-10-30 01:08:16,-36.894,-73.896,39.0,4.3,Biobío,"https://www.google.com/maps?q=-36.894,-73.896",30–60 km,Moderado
2025-10-29 22:05:346 km al NO de Rancagua,2025-10-30 01:05:34,-34.133,-70.791,82.0,2.9,Región Metropolitana de Santiago,"https://www.google.com/maps?q=-34.133,-70.791",60–100 km,Leve
2025-10-29 22:04:4976 km al O de Arauco,2025-10-30 01:04:49,-36.981,-74.105,18.0,3.9,Biobío,"https://www.google.com/maps?q=-36.981,-74.105",10–30 km,Moderado
2025-10-29 20:05:4463 km al N de Calama,2025-10-29 23:05:44,-21.919,-68.802,130.0,2.5,Antofagasta,"https://www.google.com/maps?q=-21.919,-68.802",100–200 km,Leve
2025-10-29 19:53:5244 km al SO de Mina Collahuasi,2025-10-29 22:53:52,-21.161,-68.877,111.0,2.9,Tarapacá,"https://www.google.com/maps?q=-21.161,-68.877",100–200 km,Leve
2025-10-29 11:04:5145 km al E de Patache,2025-10-29 14:04:51,-20.922,-69.785,85.0,3.9,Tarapacá,"https://www.google.com/maps?q=-20.922,-69.785",60–100 km,Moderado
2025-10-29 06:15:0631 km al S de Mina Collahuasi,2025-10-29 09:15:06,-21.107,-68.623,129.0,2.5,Tarapacá,"https://www.google.com/maps?q=-21.107,-68.623",100–200 km,Leve
2025-10-29 05:38:09134 km al N de San Antonio de los Cobres,2025-10-29 08:38:09,-23.046,-66.597,238.0,3.2,Antofagasta,"https://www.google.com/maps?q=-23.046,-66.597",200–500 km,Leve
2025-10-29 05:22:5939 km al O de Arica,2025-10-29 08:22:59,-18.541,-70.688,36.0,3.5,Arica y Parinacota,"https://www.google.com/maps?q=-18.541,-70.688",30–60 km,Leve
2025-10-29 04:29:5921 km al NO de San Pedro de Atacama,2025-10-29 07:29:59,-22.837,-68.385,122.0,2.6,Antofagasta,"https://www.google.com/maps?q=-22.837,-68.385",100–200 km,Leve
2025-10-29 02:52:4440 km al E de Mina Los Pelambres,2025-10-29 05:52:44,-31.862,-70.162,130.0,2.6,Coquimbo,"https://www.google.com/maps?q=-31.862,-70.162",100–200 km,Leve
2025-10-29 01:53:3822 km al O de Visviri,2025-10-29 04:53:38,-17.665,-69.679,142.0,3.5,Arica y Parinacota,"https://www.google.com/maps?q=-17.665,-69.679",100–200 km,Leve
2025-10-29 01:26:0536 km al E de Pica,2025-10-29 04:26:05,-20.542,-68.986,112.0,3.1,Tarapacá,"https://www.google.com/maps?q=-20.542,-68.986",100–200 km,Leve
